article	simple	complex
Yarmouth, Nova Scotia	26	6077
Spleen	99	4734
Placenta	252	340
Glorious Revolution	119	972
Electromagnetism	799	1537
Acton, Massachusetts	19	1180
Urbana, Illinois	28	1826
Bill Oddie	77	11315
Montgomery Ward	73	1904
Toe	143	3131
AFC Champions League	27	2473
Newton's laws of motion	794	2581
Fencing	326	2618
Geneva Conventions	248	550
International law	94	2073
The Hague	224	2529
Special Air Service	182	5845
Kookaburra Sport	61	1448
Lancashire	238	1037
Church of England	168	3146
Blackpool Tower	148	2767
Kookaburra	158	278
Poll tax	67	4393
Canadian dollar	17	3236
Bonn	436	2380
CAF Champions League	27	644
Copa Libertadores	281	403
Longbow	142	3482
African Union	127	2439
Bastille	953	1437
The Freecycle Network	107	6131
Slashdot	150	1519
Railfan	124	4964
Time (magazine)	60	1315
Cable television	75	574
Antenna	199	3259
Jack London	210	3215
Spacetime	233	2407
Electric current	353	3565
Inbreeding	467	16
Cambridge	152	7491
Adventures of Huckleberry Finn	219	4746
Snooker	138	2875
Aaliyah	280	2659
Simple Plan	159	5207
Serj Tankian	54	2800
Axl Rose	59	3026
Gravitational energy	64	4086
Equal	487	3932
Shining Rock Wilderness	103	2270
Radioactive decay	673	6281
Nicotine	240	184
Addiction	240	9
Secession	41	119
New England	69	4562
Rockville, Virginia	39	3603
Intelligence quotient	1298	332
Dead Calm	115	2915
Melting point	126	12218
Michael Hayden	75	528
Voltage	222	8458
Category:User yi	39	72
Hourglass	21	3902
Stopwatch	89	1629
Departments of France	47	1096
Macrosociology	112	1041
Flag of Poland	243	39
Elastic energy	385	1849
Transrapid	60	402
Wikipedia:Userboxes	79	1428
Torque	143	554
University of Leeds	189	4824
Leeds	707	1301
Strong interaction	235	2186
Neuwied	113	76
Brittany	151	2980
Standard Model	762	7528
Moldovan language	159	8514
Electromagnetic induction	201	1154
Mount Merapi	333	755
Michelson interferometer	228	3176
The Gods Must Be Crazy	179	3641
Janus	80	1872
The Care Bears Adventure in Wonderland	45	225
Conducting	774	2518
Norwegian language	451	977
French Polynesia	301	1451
OsnabrÃ¼ck	120	10252
Flip-flop (electronics)	77	2602
Satoshi Tajiri	104	1794
Ilkley	102	4494
Econometrics	228	3052
Franconia	70	2286
King of Arms	75	4731
Psychokinesis	48	1460
Cartoon Network	27	2931
Autobiography	63	1424
Penjing	67	1439
Brian Eno	65	386
Kirby (character)	273	3855
Capacitor	766	5729
Strategy	67	1472
Design pattern	317	3196
Amarillo, Texas	43	5299
Lansdowne, Pennsylvania	12	3882
Gillingham F.C.	62	6511
Round (music)	234	791
Gallbladder	67	414
Addenbrooke's Hospital	40	8072
Koala	490	766
John Adams (composer)	258	3452
Handcuffs	51	665
Flashlight	239	362
Discrimination	347	1151
Ernest Rutherford	250	2759
Serialism	812	4120
FrÃ©dÃ©ric Chopin	744	2462
Mikhail Glinka	623	1244
Ellipsoid	39	3435
Liancourt Rocks	1262	1461
Pentagram	399	3401
Benzene	134	10786
Tasmanian Devil	569	1844
Joseph Haydn	1088	998
Toei Company	30	1619
Naoko Takeuchi	72	3095
April Fools' Day	40	5706
Baroque music	634	11563
Canyon	62	4715
Pattern language	78	318
Nuclear fusion	318	1399
Concertmaster	234	1221
Mutual assured destruction	75	5314
Stairway to Heaven	20	718
Thin Lizzy	134	2791
Abu Hafiza	193	6005
Hobbit	223	352
Middle-earth	243	2871
Arnold RosÃ©	626	5046
Estonian language	86	6835
Chromosome	345	163
Giovanni Gabrieli	276	2999
Arcangelo Corelli	86	11064
Henry Purcell	1109	936
FranÃ§ois Couperin	143	3228
Jan Ladislav Dussek	74	2789
Johannes Brahms	1097	1268
Frederick Delius	130	722
BÃ©la BartÃ³k	1070	3058
Benjamin Britten	1690	1146
Claudio Monteverdi	1212	3483
Charlie Kaufman	86	5374
Sequel	34	8586
Major League Soccer	46	4827
Chicago Fire Soccer Club	45	2553
Columbus Crew	40	1879
Sporting Kansas City	74	1284
New England Revolution	72	5816
New York Red Bulls	205	5550
Colorado Rapids	19	3053
Houston Dynamo	41	2598
San Jose Earthquakes	83	3401
Los Angeles Galaxy	43	2132
Real Salt Lake	60	3827
President of Germany	54	3847
Miami Fusion F.C.	27	4302
Tampa Bay Mutiny	36	2973
Abkhazia	79	2970
Heinrich SchÃ¼tz	147	4457
Domenico Scarlatti	188	3382
Wilhelm Friedemann Bach	205	69
Indiana Jones	104	120
Lord Protector	131	8077
Fantasy	88	933
New Caledonia	141	952
Dam	182	1710
David Beckham	266	4142
Sonata	360	1116
Sonata form	413	1565
Aria	327	5852
Elijah Wood	49	5298
Ian McKellen	141	13110
Viggo Mortensen	53	4099
Sean Astin	80	4844
Ian Holm	27	300
Luigi Boccherini	205	2524
George Frideric Handel	1571	2933
Richard Wagner	1985	2217
A Connecticut Yankee in King Arthur's Court	125	1324
Juno (mythology)	60	1253
Excalibur	398	1021
Georg Philipp Telemann	96	4280
The Prince and the Pauper	307	9532
The Adventures of Tom Sawyer	150	3889
Turing machine	367	11380
Canadian football	134	1685
John Rhys-Davies	62	3428
Sean Bean	63	1411
Tripoli, Greece	86	485
2006 FIFA World Cup	82	5005
Polynesia	58	4476
Cocaine	812	1601
Viola	457	3030
Windsor, Berkshire	27	689
Windsor Castle	55	4606
Peugeot 206	29	4279
Renault Clio	572	10995
Trojan Horse	253	3424
Tesco	112	2453
Fiat Panda	66	11424
Fiat Croma	52	2796
Fiat Punto	15	3803
Volkswagen Polo	36	1551
Volkswagen Fox	36	8516
Proton Savvy	22	4730
Airbus A380	418	820
Paris (mythology)	150	1281
Helen	153	4207
RSA	968	948
Hecuba	75	943
Priam	64	6255
Achilles	169	1387
Nymph	40	4085
Romantic music	525	2830
Nereid	27	519
Romanticism	110	831
Seveso disaster	168	5005
Junichiro Koizumi	109	1157
Majulah Singapura	228	2320
Abruzzo	21	209
Teramo	21	5669
Aegean Sea	486	2377
William de Wiveleslie Abney	96	2887
Giacomo Casanova	53	2464
Colima, Colima	20	2784
Given name	182	2043
Family name	181	1281
John the Baptist	92	443
List of English monarchs	175	9304
Motet	294	305
Anthem	318	2228
Chinese character	321	19401
Improvisation	448	5898
Siren	235	2405
Aqua	13	1713
Lavender	249	762
St. Gallen	370	10380
Hollyoaks	59	2099
Muse (band)	1405	2104
Astrology	143	16
Theatre of ancient Greece	1736	2047
Sophocles	648	3925
Black pepper	441	6711
Chili pepper	83	4270
Aeschylus	1296	3501
Euripides	49	2658
Chard	36	3166
Cyclops	55	4458
Magnetic field	323	1977
Forehead	115	4626
James Prescott Joule	318	1481
Andromache	57	414
Astyanax	47	1221
Neoptolemus	86	8262
Earth's orbit	222	619
Penelope	164	2033
Anemia	61	493
Template:TickerEntry	14	440
Wikipedia:CommonsTicker	59	649
Category:Books by J. R. R. Tolkien	7	1253
Memphis, Tennessee	91	1123
Halo (series)	20	2507
Counterpoint	556	22
Guided by Voices	178	41
Eugenics	1381	52
Cerberus	57	8049
Yerevan	533	6658
Smallpox	330	2616
Greek underworld	75	2205
Mughal Empire	250	12201
British Raj	321	1519
Lever	207	7001
Pulley	48	8263
JÃ³zef PiÅsudski	386	545
Isaiah Berlin	137	2784
Guru Granth Sahib	126	11494
Zeno of Elea	33	314
Zeno of Citium	47	1444
Iron Curtain	65	10762
Sumer	481	1943
Diogenes	22	3239
Mystery Science Theater 3000	186	724
Blaze Starr	296	2112
Zip drive	184	4442
Cosmetics	109	5861
Napoleonic Wars	849	23
Etruscan mythology	86	9632
Cantata	233	761
Clavichord	96	1532
Harmony	314	3181
Bow (weapon)	176	8589
Nuclear physics	422	2023
Central Asia	398	1833
Turkestan	27	1842
Mesoamerica	46	3701
Cathode ray tube	160	1539
Recitative	216	2964
Partition of India	151	3462
World Heritage Site	35	906
Tail	32	7051
Ganesha	505	3129
Category:Minerals	4	1225
C.D. Chivas USA	40	4084
Abu Musab al-Zarqawi	26	938
Salta Province	37	698
Hash function	102	7062
MoÅ¡ovce	659	16
South Ossetia	275	2068
Soprano	197	10284
Tenor	162	1791
Baritone	114	4215
Sappho	84	1178
Harry Potter and the Order of the Phoenix	206	5011
Scooby-Doo 2: Monsters Unleashed	19	1143
List of U.S. state songs	40	2686
Pleiades (star cluster)	61	4132
Deimos (moon)	80	3221
Phobos (moon)	197	2731
Charon (moon)	297	1177
Charon (mythology)	107	355
Wheelwright	103	1735
Rotterdam	719	973
Throne	51	3047
Altar	45	1491
Donald Bradman	848	964
Ian Botham	141	380
Middle English	140	5335
Patroclus	121	2558
James I of England	262	6556
Hesiod	115	11201
Fu Xiancai	165	3430
Overture	298	2921
Luthier	84	1155
Moss, Norway	88	7039
Dorset	164	1807
Poole	265	297
Gorilla	363	2233
Matthew Bellamy	624	896
Dominic Howard	58	1298
Rama	187	4095
Bournemouth	29	7808
Christchurch	15	2325
Symphony	271	1885
Weimar Republic	305	830
Lemma (mathematics)	28	8942
Constantine the Great	479	5187
Category:Star Wars	11	5434
Cleopatra VII	1054	1978
Kelly Clarkson	467	9963
Maurice Ravel	1164	156
Jean-Philippe Rameau	92	11846
BedÅich Smetana	1125	107
Light-emitting diode	64	3906
AntonÃ­n DvoÅÃ¡k	1374	4739
LeoÅ¡ JanÃ¡Äek	1198	8213
Arthur Sullivan	191	5009
Psychosis	546	9200
Ramen	74	8134
Peter Paul Rubens	75	5129
Gothenburg	35	6411
BBC One	160	10827
Bad Aibling	115	3230
Patna	128	2218
Samuel Johnson	643	2799
Moravia	87	4385
Advanced Photo System	73	4123
Coral reef	408	375
Laurel wreath	150	2948
Ranchi	34	11581
Ujjain	41	1774
Ayodhya	94	1466
Tulsidas	123	4995
Mathura	41	990
Pulitzer Prize	94	2233
Titan (mythology)	64	1892
Turkish language	225	4270
Rhea (mythology)	333	1885
Sverker II of Sweden	27	2692
Erik Eriksson	18	1140
Westboro Baptist Church	213	1051
University of Chicago	131	5139
Shanghai Fugu Agreement	238	1158
Siren (noisemaker)	114	831
Washington Capitals	24	38
Rhea Silvia	237	6139
Virginity	338	3684
Sarajevo	84	263
Gaia (mythology)	77	2098
Semele	97	3754
Robbie Williams	1084	486
Durga	199	4901
Theia	57	6205
Adi Shankara	102	1790
Lake Garda	60	1226
Award	43	9751
Thetis	58	1521
Tirunelveli	239	349
Tyndareus	62	4020
Telemachus	24	492
Antonio Vivaldi	163	379
Agamemnon	108	2368
Menelaus	79	4576
Clytemnestra	73	730
Percussion instrument	334	1108
Hurrians	57	4433
Oneiroi	150	1456
Malcolm X	251	975
Nereus	34	1060
Federated States of Micronesia	164	1607
PÃ¤r Lagerkvist	31	2200
Thanatos	44	342
Ahimsa	104	8995
Kabir	30	630
Indus River	1147	1609
Jagannath	40	979
Category:Native American people	16	1389
Calypso	116	4202
Music theory	443	1559
Ravana	48	4360
Devaki	70	1124
Ayurveda	137	9
Sita	105	24
Halimah bint Abi Dhuayb	714	4082
Khadijah bint Khuwaylid	75	2988
Sarasvati River	55	331
Ming Dynasty	48	3262
Saraswati	101	2014
Holi	301	74
Beaminster	40	1525
Electronic music	539	1793
Reggae	161	16143
Bebop	56	1713
Magnetic resonance imaging	321	4938
Refugee camp	186	510
Argument	315	7559
2003 invasion of Iraq	199	4803
Helmet	186	1901
Coonskin cap	91	8513
Crazy Horse Memorial	182	376
Dwarka	125	2722
Ramayana	301	18201
Mahabharata	683	640
Hajj	308	827
English Civil War	681	1029
Urdu	555	2013
Franz Schubert	1208	5649
Cowpox	432	6671
Margaret Atwood	37	3107
Rainbow Brite	75	8218
Chickenpox	177	6214
Wikipedia:Wikipedia is not a dictionary	620	6510
Tonality	444	1219
Toucan	96	2177
Elbow	81	2574
Wrist	15	2408
Knee	88	1760
Atomic theory	954	3709
Particle physics	419	924
X Japan	70	1215
Minimalism	793	876
Igor Stravinsky	2127	3322
Emilio de Villota	47	2787
TAE connector	50	1580
Technological singularity	199	3466
Mew (PokÃ©mon)	333	2698
Avignon	94	6550
Marseille	163	187
Halo 2	1736	528
Actuary	281	6496
Thesaurus	150	1767
Bass (fish)	86	4759
Roxette	104	5608
Norfolk Island	1453	5013
Atlas (mythology)	217	5443
El Paso, Texas	81	702
Ecosystem	310	51
House of Stuart	47	6475
Parasitism	1396	5020
Category:Cetaceans	10	1739
Moment of silence	878	5820
Muhammad Ali Jinnah	2479	2154
Gregor Mendel	362	2163
Farscape	105	2970
Interplanetary Internet	188	14
Category:Dinosaurs	16	1431
Category:Cartilaginous fishes	22	7441
Category:Bony fish	15	1466
History of China	1332	4739
Briefs	101	1305
Kayastha	36	122
Rainbow Brite and the Star Stealer	44	30
Arctic Monkeys	89	28
Queen's University	26	6853
String quartet	677	913
Category:Odd-toed ungulates	14	3469
Category:Even-toed ungulates	14	1389
Opus number	353	3661
Category:Penguins	11	6487
Amino acid	234	1300
Yuan Dynasty	73	23
History of India	3110	28
Tort	884	889
Lawsuit	208	58
Chamber music	476	4344
Stefano Mei	92	6089
Circumcision	256	7106
Moirae	164	3907
Wikisource	96	2622
Whaling	742	9949
Template:Nothanks	64	25
Template:Uw-spam1	69	8621
Opinion	104	1117
Audience	34	1055
Group	43	2663
Eating	213	220
Bathroom	114	117
Shower	85	607
Gangtok	106	1290
Transposing instrument	813	20
Transposition (music)	430	1123
Erinyes	291	1882
Indian subcontinent	62	2081
Horae	71	4466
DanaÃ«	198	1790
Andromeda (mythology)	144	949
Centaur	54	439
BruntÃ¡l	195	624
Concerto	1212	1085
Concerto grosso	349	381
Hyundai Grandeur	328	1017
Ape	21	2170
Hattingen	40	2307
Tagalog language	97	3400
Diwali	392	384
Arthashastra	101	2170
Hanuman	148	2354
Indra	221	311
Badrinath	78	3964
Kanchipuram	94	5375
History of Japan	2679	1886
Tropical rainforest	117	5982
History of Saudi Arabia	1265	3633
Bishop's Stortford	171	1048
Raven	96	1784
Malnutrition	60	8533
Carolina Parakeet	342	1593
Match Game	438	3811
Melanesia	79	4448
Germ theory of disease	219	121
Labor Day	31	5490
Christian cross	238	1235
Martin Luther King, Jr. Day	51	9540
Washington's Birthday	49	601
Memorial Day	204	1049
Columbus Day	32	594
Veterans Day	131	1669
Ralph Vaughan Williams	581	2040
Recycling	457	1681
Transnistria	155	1899
Mercalli intensity scale	130	2939
Dili	34	773
Holly	38	3174
Dysentery	46	5626
Class of the Titans	38	7632
NHK	99	435
Fargo, North Dakota	50	912
Daft Punk	499	811
Paralympic Games	3108	1096
National Basketball Association	86	309
FIFA Women's World Cup	38	1487
Klondike Gold Rush	109	3756
Clone High	20	5264
Chinese Civil War	215	4974
Nagorno-Karabakh	415	5243
Newcastle upon Tyne	109	674
James Read	40	2261
Satyr play	52	1805
Giro d'Italia	180	5057
Category:Nuclear physics	12	4552
Rosalynn Carter	115	9186
Hitopadesha	89	202
Tiberius	1069	1191
14	9	4431
Ray Bradbury	128	12
Porpoise	66	1872
Cetology	106	680
Primatology	34	5091
Orangutan	299	86
Greeting	33	2700
Sunlight	276	796
Theism	109	1132
Plesiosaur	434	3351
Midland, Texas	100	3987
Sardinia	29	725
Samobor	107	2685
Cook Islands	101	641
Punishment	54	963
Cetacea	42	3669
Germanic languages	62	8436
Pac-Man	213	388
Pot Noodle	38	2030
Domestic violence	180	2944
Emersons Green	82	1228
Archaeopteryx	380	1462
Snail	678	2800
Gunpowder	152	356
Mayor	112	12181
Martha Washington	268	604
Abigail Adams	171	6122
Martha Jefferson Randolph	160	870
Aracaju	57	5399
A Midsummer Night's Dream	1051	2505
Vodka	369	3528
Sexual reproduction	584	2159
Leprosy	307	608
Dolley Madison	388	898
Elizabeth Monroe	157	6405
Celestia	98	3739
Bill Cullen	131	2692
Rudi Carrell	118	7435
Lung cancer	197	2295
Whitchurch, Shropshire	69	920
Panthera	109	1808
Yonkers, New York	83	1683
Louisa Adams	209	330
Jane Irwin Harrison	119	6252
Mary Todd Lincoln	359	925
Jacqueline Kennedy Onassis	809	726
Missile	148	4389
The Nightmare Before Christmas	89	940
Crumple zone	64	156
Harriet Lane	380	2332
Afelia	32	5576
President of Ireland	53	2297
Normandy	175	3592
Sarah Childress Polk	431	1465
Anna Harrison	406	1202
Sarah Yorke Jackson	386	43
Carnivora	67	5261
Fowl	27	4239
Receipt	86	683
Error	231	815
Asian Football Confederation	19	437
Micronesia	58	3305
2002 FIFA World Cup	83	549
Monotreme	89	533
FIFA Club World Cup	53	1840
Metatheria	244	1078
Spermatic cord	21	590
Mixed martial arts	658	3263
Urarina	12	1946
Sergipe	136	709
Soviet war in Afghanistan	1200	291
Emily Donelson	331	144
Letitia Christian Tyler	225	6643
Julia Gardiner Tyler	438	704
Newsround	70	1828
Lancelot	75	10143
Sun Bear	200	825
Priscilla Cooper Tyler	435	463
Eliza McCardle Johnson	86	850
Rose Cleveland	104	808
Project Gutenberg	113	2335
F. Scott Fitzgerald	693	919
Cupertino, California	39	551
The A-Team	55	429
Forrest Gump	187	378
Ted Kennedy	262	2171
Flag of Singapore	221	3063
Bess Truman	657	3719
Margaret Taylor	290	8184
Persian Gulf	488	4328
World Trade Organization	208	14773
MiÄdzyrzec Podlaski	27	3194
Qing Dynasty	629	853
Star Wars: Knights of the Old Republic	437	325
Hypnosis	715	3899
Krusty Krab	94	3480
M6 motorway	505	276
Category:Motorways in the United Kingdom	18	11854
Inclined plane	279	3383
Jamestown, New York	14	9047
Lego	400	6286
Giant panda	1250	1593
Game Boy Color	33	32
Hula	152	1255
Heracles	119	3834
Steam engine	306	4651
Computer programming	222	4234
Mayon Volcano	27	1118
Visual Basic .NET	285	2113
Temperature record of the past 1000 years	160	4636
Camping	133	6628
New Guinea	80	2415
Honda	108	3361
Camelid	192	1969
Wallis and Futuna	79	1394
Maluku Islands	257	3310
Domestication	258	3701
Night of the Living Dead	1051	5960
Russian Civil War	961	744
Foster's Home for Imaginary Friends	173	2147
Interpol	483	3795
El NiÃ±o-Southern Oscillation	453	2896
1710	16	6794
Pescozada	54	7054
Rhyme	513	2009
Wikipedia:Spoken articles	67	1253
Template:Spoken Wikipedia boilerplate	30	4004
The Sims 2	541	81
RollerCoaster Tycoon	594	1188
Fuhua Secondary School	602	2535
Eintracht Frankfurt	104	1591
Commonwealth of Nations	343	20
Nuclear meltdown	272	2759
Zoroaster	120	2132
Russian Empire	355	1792
International Red Cross and Red Crescent Movement	67	1671
Cello	774	6263
European colonization of the Americas	494	6414
Doha	122	6166
Bandar Seri Begawan	94	8503
Thimphu	78	7562
Colombo	97	8416
MalÃ©	104	3421
Islamabad	152	4605
Wall of Voodoo	1149	2575
Khyber Pass	131	11273
Ground zero	73	5246
Anne Rice	59	1283
Necktie	102	4070
Joke	144	892
Brother-in-law	22	694
Sister-in-law	24	547
Alligator clip	40	3534
Gordon Brown	405	3933
Chancellor of the Exchequer	86	3303
Dallas Cowboys	83	31
Duncanville, Texas	39	123
Koror	57	192
Palikir	27	6200
Port Moresby	94	1762
Astana	113	7305
Cessna 172	68	1759
United States Marine Corps	115	340
Elizabeth Bowes-Lyon	377	41
United States Department of Defense	159	1222
United States Department of the Navy	126	2898
Weather station	26	4175
Atmospheric pressure	187	10314
Franz Berwald	92	6248
Chemnitz	361	3461
Small intestine	79	598
Songwriter	115	1040
Hezbollah	349	1601
Agastya	182	1330
International Criminal Court	376	1487
Brahma	175	1007
Asexual reproduction	348	607
Brahman	77	7129
International Monetary Fund	480	2330
World Bank Group	484	5670
International Court of Justice	580	3209
Indian independence movement	3766	1742
Parvati	169	6446
EstÃ¡dio Palestra ItÃ¡lia	41	4289
1963 Pan American Games	22	2867
Pan American Games	88	3573
Campinas	54	9864
Multilingualism	60	4300
Patrice Lumumba	137	373
Ho Chi Minh	683	28
Khmer Rouge	163	871
Juche	44	3840
Kigali	20	3998
Louis XVI of France	901	3711
Paul Kagame	61	4393
Juche Tower	296	7128
Space exploration	112	4734
Vietnamese language	72	1681
Valmiki	351	5361
Kali	33	2623
Petr Äech	104	480
Mustafa Kemal AtatÃ¼rk	200	5197
Bail	36	4761
SoufflÃ©	13	990
Marmalade	37	6004
Thomas Hardy	110	3523
Manhole	30	14670
Pajamas	53	2500
Barter	164	339
Carlisle United F.C.	19	1177
Leica Camera	11	3546
2011	104	349
Tiáº¿n QuÃ¢n Ca	631	875
North American blizzard of 2003	524	1473
Organization of American States	271	2507
Gustav Holst	198	1693
Nelson's Column	43	79
Cousin	152	76
Livestock	38	1287
Breed	87	2226
Storm	182	2715
Pressure	403	1455
Alligator	143	2377
Curitiba	6959	3617
Crocodilia	103	433
Biometrics	252	3246
Hertz	100	2553
Batman Returns	126	1715
Sara Cox	28	7922
Star Trek: Deep Space Nine	89	2683
Winx Club	1499	3034
Norfolk County, Ontario	95	1134
Simcoe, Ontario	459	3499
Simcoe Composite School	201	1399
Paul Keating	224	6359
Commonwealth of Independent States	405	2871
Electric motor	542	3144
Explosive material	329	373
UNICEF	228	578
Partitions of Poland	2993	2916
Unification of Germany	277	2690
Organisation for Economic Co-operation and Development	214	8059
1973 oil crisis	277	5208
Organization for Security and Co-operation in Europe	242	1908
Franco-Prussian War	257	3030
Fernando Alonso	264	12191
Peter Crouch	117	2593
Bishkek	96	7558
Dushanbe	88	3199
Taiwan Strait	114	8853
Tashkent	70	7467
Crew	87	3844
Cargo	71	2210
Ransom	47	871
Paraphilia	127	392
Belo Horizonte	41	2076
Bohemia	67	243
Rhododendron	50	1525
Jasmine	70	297
Nupedia	148	3136
Article (grammar)	441	5598
Waterfront	19	3165
East Asia	24	1388
Tbilisi	66	954
Robot	1062	743
Habemus Papam	192	2039
Xabi Alonso	34	33
Porto Alegre	91	691
Salvador	26	5457
GoiÃ¢nia	28	7944
Campo Grande	162	353
CuiabÃ¡	31	4697
JoÃ£o Pessoa	29	9323
Teresina	25	38
Natal, Rio Grande do Norte	28	3533
Council of Europe	151	1603
MacapÃ¡	25	1561
FlorianÃ³polis	37	3354
Porto Velho	27	1882
Recife	26	4699
Recognition	158	2570
Cystic fibrosis	347	825
De facto	149	4793
Port Dover, Ontario	231	883
Julius Nyerere	106	9187
Interahamwe	169	25
Democratic Kampuchea	89	7387
Lindsborg, Kansas	32	1622
Pie	721	144
Customer service	83	2385
Busan	43	592
Sarcasm	159	2262
